City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Williams Lake,90,CA,1541289600,100,52.13,-122.14,39.2,16.11
Zhengjiatun,92,CN,1541293529,61,43.51,123.51,37.32,13.38
Ketchikan,90,US,1541289360,92,55.34,-131.65,50,6.93
Ornskoldsvik,56,SE,1541290800,92,63.29,18.72,35.6,11.1
Eidfjord,92,NO,1541293529,97,60.47,7.07,35.25,3.31
Agirish,92,RU,1541293529,97,61.92,63.02,27.96,4.72
Vanavara,80,RU,1541293530,79,60.35,102.28,22.65,8.23
Izhma,92,RU,1541293530,97,65.01,53.91,32.1,2.82
Kizukuri,20,JP,1541289600,67,40.81,140.39,57.2,6.93
Bauchi,76,NG,1541293530,61,10.31,9.85,70.49,2.3
Constantine,75,DZ,1541291400,93,36.36,6.61,50,17.22
Paradise,75,US,1541292960,16,36.12,-115.17,76.46,2.86
Shubarkuduk,48,KZ,1541293531,67,49.15,56.49,27.83,5.06
Ancud,92,CL,1541293531,97,-41.87,-73.83,53.43,20.6
Jumla,92,NP,1541293531,100,29.28,82.18,27.96,1.07
Port-Cartier,90,CA,1541291340,93,50.03,-66.88,35.6,11.41
Monrovia,75,LR,1541291400,94,6.33,-10.8,77,6.4
Miri,76,NG,1541293532,61,10.31,9.75,70.49,2.3
Broken Hill,44,AU,1541293532,43,-31.97,141.45,76.88,8.08
Raudeberg,92,NO,1541290800,81,61.99,5.14,51.8,26.4
Blythe,1,US,1541289120,11,33.61,-114.59,87.08,13.87
Bathsheba,40,BB,1541289600,74,13.22,-59.52,82.4,17.22
Oksfjord,20,NO,1541290800,86,70.24,22.35,37.4,9.17
Labuhan,8,ID,1541293533,87,-2.54,115.51,78.54,2.04
Wichita Falls,1,US,1541292900,53,33.91,-98.49,62.24,9.17
Narodychi,48,UA,1541293533,89,51.2,29.09,46.19,2.98
Platteville,90,US,1541291700,95,42.73,-90.48,41,14.99
Gairatganj,8,IN,1541293534,72,23.42,78.24,68.55,3.2
Bordighera,75,IT,1541291400,59,43.79,7.66,64.4,9.17
Vao,0,EE,1541293534,96,59.1,26.19,39.48,7
Waingapu,20,ID,1541293534,85,-9.65,120.26,81.6,4.76
Sept-Iles,90,CA,1541291340,93,50.2,-66.38,35.6,11.41
Channel-Port aux Basques,92,CA,1541293313,83,47.57,-59.14,51.41,31.52
Coahuayana,92,MX,1541293535,97,18.62,-100.35,65.63,1.86
Khandyga,0,RU,1541293251,85,62.65,135.58,6.81,7.63
Petrovskoye,90,RU,1541291400,100,56.26,36.47,46.4,11.18
Erdenet,0,MN,1541293535,50,49.03,104.04,2.49,5.88
Caala,64,AO,1541293535,93,-12.85,15.56,57.75,2.71
Aykhal,48,RU,1541293536,74,65.95,111.51,6.72,5.39
Drovyanaya,0,RU,1541291400,77,51.58,113.05,3.2,4.47
Belen,75,TR,1541289000,48,36.49,36.19,64.4,10.29
Hasaki,75,JP,1541289600,77,35.73,140.83,59,3.36
Nome,90,US,1541290500,66,30.04,-94.42,71.96,5.82
Puerto Narino,75,CO,1541289600,94,-3.77,-70.38,77,3.31
Adrar,0,DZ,1541289600,41,27.87,-0.29,60.8,5.82
Gamba,0,CN,1541293537,58,28.28,88.52,-4.22,3.31
Zheleznodorozhnyy,90,RU,1541291400,93,55.75,38,46.4,11.18
Hue,75,VN,1541291400,100,16.47,107.58,75.2,1.12
Inirida,24,CO,1541293537,85,3.87,-67.92,76.79,3.09
Hervey Bay,0,AU,1541293398,85,-25.3,152.85,77.82,11.77
Katsuura,40,JP,1541289600,71,33.93,134.5,57.2,2.24
Rundu,88,NA,1541293538,82,-17.91,19.77,66.98,8.34
Coquimbo,0,CL,1541289600,87,-29.95,-71.34,55.4,5.82
Vikhorevka,75,RU,1541291400,79,56.12,101.17,24.8,11.18
Khorinsk,0,RU,1541293538,66,52.16,109.78,3.71,2.26
Tiruppuvanam,40,IN,1541291400,94,9.83,78.27,73.4,5.88
Cartagena,0,ES,1541291400,87,37.63,-1,50,3.36
Jijiga,8,ET,1541293539,93,9.35,42.8,46.46,2.48
Laives,90,FR,1541291400,100,46.65,4.85,39.2,3.36
Barmer,0,IN,1541293539,49,25.74,71.4,65.67,8.79
San Nicolas,80,HN,1541293539,85,14.94,-88.33,73.46,2.19
Amapa,40,HN,1541293200,83,15.09,-87.97,80.6,6.93
Aksu,90,KZ,1541289600,92,52.04,76.93,28.4,3.2
Boone,1,US,1541292780,92,36.22,-81.67,46.94,2.04
Bulungu,88,CD,1541293540,99,-4.54,18.6,71.88,3.2
Kirensk,64,RU,1541293540,61,57.78,108.12,22.29,9.24
Magdagachi,0,RU,1541293540,66,53.45,125.8,8.07,2.59
Umm Kaddadah,0,SD,1541293540,30,13.6,26.69,67.16,11.14
Maltahohe,12,NA,1541293541,38,-24.83,16.98,59.78,10.13
Itoman,75,JP,1541291160,94,26.12,127.67,78.8,10.29
Sistranda,75,NO,1541289000,81,63.73,8.83,46.4,23.04
Zhigansk,80,RU,1541293541,80,66.77,123.37,4.16,7.9
Port Macquarie,75,AU,1541291400,73,-31.43,152.91,75.2,11.41
Smithville,90,US,1541289240,77,39.39,-94.58,57.02,6.93
Tranas,36,SE,1541290800,93,58.04,14.98,41,7.07
Bell Ville,8,AR,1541293542,60,-32.63,-62.69,69.81,7.78
Klyuchi,56,RU,1541293542,92,52.25,79.17,21.3,3.83
Yaan,56,NG,1541293543,92,7.38,8.57,73.77,8.08
Aripuana,8,BR,1541293543,83,-9.17,-60.63,80.66,2.48
Saint-Paul,0,FR,1541291400,100,45.22,1.9,37.4,2.59
Chara,20,GR,1541289000,82,39.42,22.43,55.4,3.36
Igrim,88,RU,1541293544,95,63.19,64.42,24.36,4.72
Honningsvag,48,NO,1541293544,100,70.98,25.97,38.99,10.02
Skaudvile,8,LT,1541293544,79,55.42,22.62,31.79,2.86
Daru,36,SL,1541293544,85,7.99,-10.85,76.29,4.72
Pervomayskiy,92,RU,1541293545,95,53.24,40.29,39.53,11.36
Ayorou,0,NE,1541293545,31,14.73,0.92,67.74,2.82
Kuruman,24,ZA,1541293545,28,-27.46,23.43,71.07,16.58
Champasak,20,LA,1541289600,83,14.89,105.88,71.6,2.24
Road Town,40,VG,1541293200,88,18.42,-64.62,77,11.41
Srednekolymsk,80,RU,1541293546,76,67.46,153.71,-3.5,4.5
High Rock,12,BS,1541293546,100,26.63,-78.28,79.13,10.65
Yinchuan,92,CN,1541293097,79,38.48,106.21,29.94,2.53
Dunedin,76,NZ,1541293098,71,-45.87,170.5,47.81,20.2
Moussoro,20,TD,1541293546,45,13.64,16.49,67.88,3.49
Atar,24,MR,1541293472,67,20.52,-13.05,58.56,4.05
Amga,64,RU,1541293547,56,60.89,131.98,11.31,9.64
Kainantu,0,PG,1541293547,73,-6.29,145.87,74.58,1.07
Mitu,68,IR,1541293547,54,36.2,46.09,42.18,3.71
Elizabeth City,1,US,1541292840,68,36.3,-76.22,57.02,6.93
Estelle,40,US,1541290620,54,32.87,-97.01,71.96,12.75
San Ramon de la Nueva Oran,80,AR,1541293547,67,-23.13,-64.33,80.21,11.88
Charyshskoye,88,RU,1541293548,86,51.4,83.56,27.56,9.86
Liberia,0,CR,1541289600,83,10.63,-85.44,80.6,5.82
Portland,90,US,1541289360,74,45.52,-122.67,57.92,6.93
Uvinza,92,TZ,1541293548,100,-5.1,30.39,63.38,1.03
Montevideo,90,US,1541292600,93,44.94,-95.72,42.8,10.29
Taybad,0,IR,1541293548,77,34.74,60.78,18.15,4.21
Castrovillari,32,IT,1541293549,95,39.82,16.2,53.16,2.82
Ahipara,0,NZ,1541293104,75,-35.17,173.16,64.46,18.07
Yulara,8,AU,1541289600,23,-25.24,130.99,87.8,10.29
Kimbe,12,PG,1541293549,98,-5.56,150.15,84.03,2.19
Shirokiy,92,RU,1541293549,96,53.87,39.17,42.99,11.54
Sao Jose da Coroa Grande,76,BR,1541293549,84,-8.9,-35.15,77.19,7.23
Farafangana,88,MG,1541293549,100,-22.82,47.83,69.54,12.03
Awash,8,ET,1541293550,69,8.99,40.17,55.59,2.71
Salym,76,RU,1541293550,90,60.06,71.48,17.25,6.29
Puerto Ayacucho,32,CO,1541293550,98,5.66,-67.63,73.95,2.3
Wladyslawowo,0,PL,1541291400,100,54.79,18.4,33.8,1.12
Vestmannaeyjar,0,IS,1541293026,98,63.44,-20.27,36.78,25.37
Taltal,0,CL,1541293319,83,-25.41,-70.49,60.41,2.3
Tezu,88,IN,1541293551,79,27.93,96.16,55.86,1.7
Oriximina,44,BR,1541293468,87,-1.77,-55.87,79.58,1.03
Yumen,32,CN,1541293551,70,40.29,97.04,17.61,2.75
Beyneu,0,KZ,1541293551,61,45.32,55.19,19.05,2.86
Asosa,20,ET,1541293578,90,10.07,34.53,60.18,2.59
Copiapo,12,CL,1541289600,82,-27.37,-70.33,57.2,6.93
Tara,0,JP,1541289600,71,33,130.15,60.8,3.36
Ubaitaba,36,BR,1541293376,83,-14.31,-39.32,73.23,6.55
Arman,20,RU,1541291400,79,59.7,150.17,23,4.47
Mackenzie,90,CA,1541290560,93,55.34,-123.09,35.6,9.17
Krasni Okny,20,UA,1541293580,87,47.54,29.46,41.19,4.32
Freeport,8,BS,1541293580,100,26.54,-78.7,78.54,11.65
Auki,8,NG,1541293580,59,12.18,6.51,65.67,3.6
Kholodnyy,76,RU,1541293580,67,62.72,147.95,-3.45,6.85
Coos Bay,1,US,1541292960,93,43.37,-124.22,53.96,4.54
San Jose de Gracia,92,MX,1541293581,54,20.67,-102.58,69.41,2.26
Vardo,5,US,1541292420,70,39.62,-77.74,50,6.62
